ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
NY-001,Albany County,New York,49.3,2.9,122,46.3
NY-003,Allegany County,New York,46.5,1.7,112,44.8
NY-005,Bronx County,New York,56.2,3.6,124,52.6
NY-007,Broome County,New York,48,2.3,118,45.7
NY-009,Cattaraugus County,New York,46,1.3,102,44.7
NY-011,Cayuga County,New York,48.3,2.2,113,46.1
NY-013,Chautauqua County,New York,47.4,1.5,105,45.9
NY-015,Chemung County,New York,47.8,1.9,112,45.9
NY-017,Chenango County,New York,46.8,2.3,119,44.4
NY-019,Clinton County,New York,45.2,3.4,124,41.8
NY-021,Columbia County,New York,50.5,3.4,124,47.1
NY-023,Cortland County,New York,46.4,2.2,116,44.2
NY-025,Delaware County,New York,46.3,2.4,118,43.8
NY-027,Dutchess County,New York,51.2,3.4,122,47.8
NY-029,Erie County,New York,48.2,2,110,46.2
NY-031,Essex County,New York,44,3.6,127,40.4
NY-033,Franklin County,New York,43.9,3.7,123,40.3
NY-035,Fulton County,New York,46.5,2.8,123,43.7
NY-037,Genesee County,New York,48.3,2.3,112,46
NY-039,Greene County,New York,48.2,3.2,124,45
NY-041,Hamilton County,New York,43,3.2,125,39.8
NY-043,Herkimer County,New York,44.6,2.8,123,41.8
NY-045,Jefferson County,New York,46.7,3.1,121,43.6
NY-047,Kings County,New York,56.6,3.5,124,53
NY-049,Lewis County,New York,44.3,3,122,41.3
NY-051,Livingston County,New York,48.6,2.3,115,46.3
NY-053,Madison County,New York,46.6,2.5,117,44.1
NY-055,Monroe County,New York,49.3,2.4,114,46.9
NY-057,Montgomery County,New York,48.3,2.4,119,45.9
NY-059,Nassau County,New York,55.6,3.7,124,51.9
NY-061,New York County,New York,56.4,3.5,123,52.9
NY-063,Niagara County,New York,49.4,2.4,115,47
NY-065,Oneida County,New York,46.8,2.8,122,44
NY-067,Onondaga County,New York,48,2.3,113,45.7
NY-069,Ontario County,New York,48.6,2.3,113,46.3
NY-071,Orange County,New York,51.1,3.2,122,47.9
NY-073,Orleans County,New York,48.9,2.3,112,46.6
NY-075,Oswego County,New York,47.5,2.6,118,44.9
NY-077,Otsego County,New York,46.1,2.1,116,44
NY-079,Putnam County,New York,51.4,3.1,121,48.3
NY-081,Queens County,New York,56.3,3.5,124,52.7
NY-083,Rensselaer County,New York,48.8,3.1,122,45.7
NY-085,Richmond County,New York,56.3,3.5,122,52.8
NY-087,Rockland County,New York,53.2,3.4,122,49.7
NY-089,St. Lawrence County,New York,45.6,3.7,124,41.8
NY-091,Saratoga County,New York,48.2,3.3,124,44.9
NY-093,Schenectady County,New York,48.7,2.8,122,45.9
NY-095,Schoharie County,New York,46.8,2.3,121,44.5
NY-097,Schuyler County,New York,47.5,2,113,45.5
NY-099,Seneca County,New York,49.2,2.2,113,47
NY-101,Steuben County,New York,47.2,2,114,45.2
NY-103,Suffolk County,New York,53.8,3.5,124,50.3
NY-105,Sullivan County,New York,48.1,2.9,121,45.2
NY-107,Tioga County,New York,47.9,2.1,115,45.8
NY-109,Tompkins County,New York,47.6,2,111,45.6
NY-111,Ulster County,New York,49.1,3.1,122,46
NY-113,Warren County,New York,45.8,3.5,126,42.3
NY-115,Washington County,New York,48,3.5,124,44.5
NY-117,Wayne County,New York,49.1,2.4,116,46.7
NY-119,Westchester County,New York,53.4,3.3,122,50
NY-121,Wyoming County,New York,46.8,2.1,114,44.7
NY-123,Yates County,New York,48.4,2.2,113,46.2
